gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
UTP23,0.6623070974683118,0.6617624314964866,0.000413638341774006,0.0005446659718252311,0.000413638341774006,shuffle,10,0.6660054466597183,0.6660121709309753,0.0002671998989517714,-6.724271257030345e-06,0.0002671998989517714,shuffle,10,0.0005446659718252311,0.0002689708502841004
NME8,0.6623070974683118,0.6617758800390008,0.0005266439632639919,0.0005312174293110594,0.0005266439632639919,shuffle,10,0.6660054466597183,0.665827253471405,0.00045977742536062804,0.00017819318831324704,0.00045977742536062804,shuffle,10,0.0005312174293110594,0.00035470530881215323
H2AC13,0.6623070974683118,0.6617826043102578,0.0003947324781344168,0.0005244931580540291,0.0003947324781344168,shuffle,10,0.6660054466597183,0.6660457922872609,0.00021985385098036454,-4.034562754262616e-05,0.00021985385098036454,shuffle,10,0.0005244931580540291,0.00024207376525570146
ZNF679,0.6623070974683118,0.6617859664458863,0.00021645992136395178,0.0005211310224255694,0.00021645992136395178,shuffle,10,0.6660054466597183,0.6660390680160038,0.00015407241014543936,-3.3621356285484794e-05,0.00015407241014543936,shuffle,10,0.0005211310224255694,0.0002437548330700423
FAM86C2P,0.6623070974683118,0.6617859664458864,0.0006600840730036603,0.0005211310224254584,0.0006600840730036603,shuffle,10,0.6660054466597183,0.6665803718522004,0.0005293522125263876,-0.0005749251924821452,0.0005293522125263876,shuffle,10,0.0005211310224254584,-2.6897085028343426e-05
GSK3A,0.6623070974683118,0.6617994149884007,0.0006768589455026063,0.0005076824799111757,0.0006768589455026063,shuffle,10,0.6660054466597183,0.6660558786941465,0.00045884221712524215,-5.043203442822719e-05,0.00045884221712524215,shuffle,10,0.0005076824799111757,0.00022862522274147423
RACK1,0.6623070974683118,0.6618027771240292,0.00038686480485878525,0.000504320344282605,0.00038686480485878525,shuffle,10,0.6660054466597183,0.66618700198366,0.0002707302173848962,-0.0001815553239417067,0.0002707302173848962,shuffle,10,0.000504320344282605,0.00016138251017044913
MAP7D3,0.6623070974683118,0.6618061392596577,0.0007300480948034101,0.0005009582086541453,0.0007300480948034101,shuffle,10,0.6660054466597183,0.6662845039168881,0.00039065932697226503,-0.00027905725716981244,0.00039065932697226503,shuffle,10,0.0005009582086541453,0.00011095047574216643
DENND5B,0.6623070974683118,0.6618095013952863,0.00024879803651280954,0.0004975960730255746,0.00024879803651280954,shuffle,10,0.6660054466597183,0.666321487408802,0.0003356078327934259,-0.0003160407490837569,0.0003356078327934259,shuffle,10,0.0004975960730255746,9.077766197090886e-05
MLLT4,0.6623070974683118,0.6618095013952863,0.0006505189438025577,0.0004975960730255746,0.0006505189438025577,shuffle,10,0.6660054466597183,0.6660861379148034,0.0003253463444414558,-8.06912550851413e-05,0.0003253463444414558,shuffle,10,0.0004975960730255746,0.00020845240897021666
