layer,head,gene,mean_attention_score
0,0,ARID4A,0.002035435987636447
0,0,EP400,0.0019939925987273455
0,0,MMP19,0.0020338748581707478
0,0,NPC1L1,0.00197791401296854
0,0,LINC02381,0.0019814693368971348
0,0,MRM1,0.002012615790590644
0,0,ZNF700,0.002016785554587841
0,0,VPS52,0.001966438489034772
0,0,RELL2,0.0020110406912863255
0,0,ADAM10,0.0020159385167062283
0,0,TRIML2,0.0019857874140143394
0,0,IPP,0.001991760917007923
0,0,CCR6,0.001988709904253483
0,0,PLEKHO1,0.002178588882088661
0,0,ASTL,0.002017116406932473
0,0,EIF4ENIF1,0.001967053161934018
0,0,NAB2,0.0020688336808234453
0,0,TPP2,0.001970999175682664
0,0,MYL3,0.0019888372626155615
0,0,SCFD1,0.002050657756626606
0,0,HAX1,0.002002574736252427
0,0,SHISA6,0.001977162202820182
0,0,LCA5L,0.0020408164709806442
0,0,PHF20,0.0020104877185076475
0,0,RASAL3,0.0019967337138950825
0,0,DMXL1,0.0019798721186816692
0,0,SH3GL1,0.0019629402086138725
0,0,KIFC2,0.0019790425430983305
0,0,CASP12,0.0019671632908284664
0,0,STEAP2,0.0019821517635136843
0,0,VN1R2,0.001981488661840558
0,0,PSMA3,0.0019902759231626987
0,0,KRTAP10-7,0.001977246254682541
0,0,MGC24103,0.00200203456915915
0,0,SAFB,0.002001881832256913
0,0,PFDN5,0.001989777432754636
0,0,IL21,0.002121247351169586
0,0,ITPKA,0.0020522326231002808
0,0,LYSMD2,0.0020234184339642525
0,0,H3C13,0.0020084346178919077
0,0,PLEKHG7,0.001997401937842369
0,0,LOC157860,0.0019669963512569666
0,0,GPR37L1,0.001977961976081133
0,0,CERT1,0.0019742476288229227
0,0,CIB3,0.0019871117547154427
0,0,USP24,0.0020010625012218952
0,0,CHST9,0.0019656296353787184
0,0,EGFEM1P,0.0019999807700514793
0,0,LIME1,0.0019655029755085707
0,0,PIGN,0.001983694499358535
0,0,PILRA,0.0019847701769322157
0,0,MDFI,0.001977071864530444
0,0,RPL13AP17,0.0019646077416837215
0,0,ZNF22,0.0019966703839600086
0,0,LRRC61,0.001972119091078639
0,0,ANXA7,0.0019850365351885557
0,0,LINC01000,0.0019756669644266367
0,0,ACOT12,0.00198529870249331
0,0,LAPTM4A,0.0019897439051419497
0,0,TRIM31,0.002005218993872404
0,0,LOC642384,0.0019845659844577312
0,0,PPP1R1A,0.001973250648006797
