covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
TULP1,0.024115797233124542,1.0244089347429686,0.023386444479500678,-0.021720791673142358,0.06995238613939145,0.9785134060045313,1.0724571162148842,0.0,1.0311869875843322,0.3024531415398273,1.7252164490442692
MSMP,0.02407627286342756,1.024368446425654,0.023878729172570435,-0.022725176311396415,0.07087772203825154,0.9775310955625524,1.0734499585699995,0.0,1.008272789118277,0.31332352236488803,1.6742750126175718
LOC644277,0.023907656122269916,1.0241957353178741,0.023886394646649302,-0.022908817105673066,0.0707241293502129,0.9773515974578247,1.0732850971664647,0.0,1.000890108194859,0.31687993932487923,1.6579917647746316
CCDC33,0.023869382185209634,1.0241565360649227,0.02361336051678733,-0.022411953981653653,0.07015071835207293,0.977837328086629,1.0726698401020514,0.0,1.0108422377340274,0.3120919437223699,1.679956978584412
APBA1,0.02370171574092805,1.0239848337748916,0.02345383434117241,-0.022266954867138578,0.06967038634899468,0.9779791239132276,1.0721547261718705,0.0,1.010568907247737,0.312222803638145,1.679352184431774
DDX50,0.023665857118731374,1.0239481157479349,0.024881408504063913,-0.02510080743386252,0.07243252167132527,0.9752115984943311,1.075120256324393,0.0,0.9511461987719063,0.34153016535908876,1.549915085941543
TOP1P1,0.023562086616613836,1.0238418656507298,0.02365515176338588,-0.022801158888451644,0.06992533212167931,0.9774568230525039,1.0724281023335396,0.0,0.9960657556669709,0.31921819704689486,1.6473852000907967
PHF12,0.02324679325478908,1.0235191059915947,0.02508454757406855,-0.025918016558866858,0.07241160306844502,0.9744149722266935,1.0750977665459305,0.0,0.9267375935781569,0.35406279366539184,1.4979228473591764
PLK3,0.02311645613504781,1.0233857121525927,0.02509254848992491,-0.026064035185529928,0.07229694745562555,0.9742726998781082,1.0749745076189654,0.0,0.921247841538673,0.35692104575729366,1.4863231228517857
KMT5C,0.02241089451284043,1.0226639051389903,0.023536043816333455,-0.023718903705729787,0.06854069273141064,0.9765601786273551,1.0709442037091415,0.0,0.9521946291282736,0.340998284358818,1.5521636141518491
LOC646484,0.02233517227056559,1.0225864696668303,0.023408438417439937,-0.023544523961940463,0.06821486850307165,0.976730485789727,1.070595320980683,0.0,0.9541504594311283,0.34000748725672814,1.5563615787913914
SRGAP2,0.0220758572816334,1.0223213320463318,0.02496868779532554,-0.026861871538429463,0.07101358610169627,0.9734956997012177,1.0735958117511537,0.0,0.8841416682604476,0.37661974225101513,1.4088194674760763
ENAM,0.021939866414097182,1.0221823151342155,0.023561652386814895,-0.02424012368031221,0.06811985650850658,0.9760513085840087,1.0704936064159931,0.0,0.9311684110225961,0.35176645542064555,1.5073101814512049
ABCA12,0.021934360564699242,1.0221766871678244,0.024568790079601006,-0.0262195831350437,0.07008830426444218,0.9741211655431079,1.0726028924819113,0.0,0.8927733312724634,0.371978570732574,1.4267085832001398
PRSS37,0.021742693770759155,1.0219807886135783,0.02380416930843388,-0.024912620755664975,0.06839800829718329,0.9753951375948566,1.0707914075424225,0.0,0.9133985517005906,0.36103296701303755,1.4697975149087918
SELENOO,0.02169566692463613,1.0219327292103415,0.025192862837314766,-0.027681436903958367,0.07107277075323062,0.9726981831953447,1.073659354025506,0.0,0.861183068583269,0.3891372237264883,1.3616491039957277
TFB1M,0.021671778107707033,1.0219083167380532,0.024938097332292488,-0.027205994506540647,0.0705495507219547,0.9731607551059624,1.0730977408811488,0.0,0.8690229177846748,0.38483459568574074,1.3776895952057386
F10,0.021551906506674448,1.021785826293727,0.02510466635628507,-0.02765233539553868,0.07075614840888758,0.9727264905916048,1.0733194632951482,0.0,0.8584820925643901,0.3906263145244069,1.3561389553013663
MAU2,0.021359888935216134,1.0215896442966095,0.024675838529803058,-0.027003865871523654,0.06972364374195592,0.9733574786421043,1.0722118278579673,0.0,0.8656195780102072,0.38669881560243113,1.3707177492075675
