gene,mean_gate_score,std_gate_score
EFCAB4B,0.6049833,0.12531237
DZIP1L,0.6049114,0.14811057
SFRP5,0.60489994,0.11573578
WDR1,0.6047432,0.14459209
IRF3,0.60473293,0.10973905
PRSS3,0.60434216,0.14462863
ZNF98,0.604317,0.124507666
MARCHF11,0.60430837,0.12800272
DSCR9,0.6042833,0.11653384
ELOB,0.60420406,0.13628705
PNP,0.6041203,0.14104058
VKORC1,0.6041193,0.109192625
CTRC,0.60408425,0.10924831
AGRN,0.60401034,0.11823689
SLC6A14,0.6037794,0.122026816
AK125594,0.603734,0.12403339
NIN,0.60353935,0.098547846
NFATC2,0.60345143,0.132271
HAAO,0.60344875,0.10853041
DBT,0.60344857,0.107867055
TUBB2B,0.60322607,0.11619285
NUMBL,0.60281265,0.12691905
USP44,0.60279137,0.12108629
LINC01094,0.6027098,0.09115747
FLJ16734,0.6016013,0.14354666
GRASP,0.60150737,0.172664
GADD45A,0.6014419,0.109680146
AUTS2,0.60143614,0.120155714
ZFYVE28,0.6012999,0.10406027
FBXO22,0.60119087,0.13479115
CREG2,0.60105085,0.13586657
TERF1,0.60100704,0.09352825
FUCA2,0.6009601,0.1252568
TUBB4A,0.60089546,0.1263369
PTH1R,0.6007949,0.12983303
TCHP,0.6006501,0.13299294
PMCH,0.6003174,0.13101591
WDR97,0.59999055,0.11694513
PLCE1,0.5999816,0.14259508
GSK3A,0.59979415,0.15519233
ZBTB37,0.59971917,0.12345119
ME3,0.59969735,0.19794394
IP6K1,0.5994196,0.16031194
IL12RB2,0.5993994,0.10231233
PLEKHN1,0.59934497,0.13789795
C19orf18,0.5993011,0.15070899
ABLIM3,0.5991279,0.14089899
IL1RN,0.59906715,0.10345765
NACAD,0.59902304,0.11409359
RAG2,0.59886694,0.12372775
SLC25A19,0.59886336,0.1453367
DKK1,0.5987882,0.12552105
TBCC,0.59878254,0.099162914
NUP88,0.5987003,0.12453227
CRYBA1,0.59857875,0.14567761
CACNA1B,0.59855765,0.10676152
GCNT2P1,0.59844387,0.11176679
COPZ1,0.5984059,0.12697704
HSF2,0.5983309,0.17982006
C11orf71,0.5982526,0.14230795
COL21A1,0.59811795,0.12372807
GAL3ST2,0.59781045,0.17058437
PLA2G2D,0.5975781,0.15653098
SEPTIN4,0.5975347,0.12494806
SUMO3,0.5975279,0.12046286
ZNF493,0.5974368,0.12557054
UTP23,0.59717584,0.118927546
TC2N,0.5971365,0.12938452
TRIM15,0.5971043,0.15431295
FAM218A,0.5968892,0.14233273
CLIC6,0.59679615,0.12144693
C3orf56,0.5965751,0.13038248
CST8,0.59647536,0.15554637
CRYGA,0.5961971,0.1206579
LINC00965,0.59617513,0.13882214
F13B,0.59609365,0.1709333
MED23,0.5960924,0.119398676
ECD,0.5958599,0.13559262
ZFP82,0.59546196,0.15414226
CDC27,0.5954169,0.124409735
TRPM4,0.5953813,0.10793663
HNRNPAB,0.5950745,0.1327781
ALPI,0.5950008,0.15918085
CSMD2,0.59499466,0.112688996
CLCF1,0.5947886,0.15348196
OR10D1P,0.59470475,0.18427415
SULT1C4,0.59466755,0.17009519
PDE4B,0.59462154,0.13953593
TSPEAR-AS2,0.59447503,0.11348439
NFE4,0.59405595,0.10289839
LOC646999,0.59390014,0.11900167
RALGPS1,0.593847,0.13108578
PTF1A,0.59370404,0.15069638
SOWAHC,0.59356695,0.1138866
MBNL2,0.5932876,0.10941721
ORMDL3,0.59327596,0.12349907
PLGLB1,0.5931743,0.15420437
PVALB,0.5931263,0.1434364
EVC,0.5931257,0.12669598
ZDHHC7,0.5931096,0.17750345
P2RY11,0.593102,0.123661466
DGCR6L,0.5929808,0.15559813
PCDHGB3,0.5929804,0.17237791
CPT1A,0.5928486,0.123415664
PPP1R11,0.5928365,0.117878765
ATP6V1B2,0.5926703,0.16295867
DCBLD1,0.592625,0.11321139
NNT,0.59233314,0.11177479
TMPRSS11E,0.5921986,0.12024678
LRCH4,0.5921276,0.13585591
GPR155,0.5920748,0.11472688
MEF2BNB,0.5920234,0.16301243
ALG14,0.5920009,0.118850626
YPEL2,0.59185624,0.15858036
CASC1,0.5917866,0.12700024
IRF6,0.5917749,0.15650302
SSR4,0.5916592,0.15863506
SPACA9,0.5915223,0.10901684
SNAI1,0.59147406,0.093341485
ACTC1,0.59145683,0.12511851
LOC219690,0.5914473,0.14936884
B3GNT3,0.5914272,0.1274919
PRRT4,0.5912585,0.20205215
RTL1,0.59107906,0.15609156
CLDN19,0.59100604,0.13272117
GDF5,0.5909366,0.11424009
PLN,0.5906886,0.13675115
TERB1,0.5905929,0.11141303
TP53INP2,0.5905344,0.1235433
TREML3P,0.59045166,0.12539598
MT1A,0.5904442,0.13777056
GDF15,0.5903611,0.108119704
MYL12BP2,0.5903556,0.16421585
RAD23A,0.59006476,0.11612413
NR0B2,0.5898919,0.115016505
PIP5K1B,0.58988667,0.10575897
KLHL41,0.58962816,0.11500939
GATA4,0.58961016,0.12578827
DCLK2,0.58946294,0.13264473
RPL9P11,0.58945113,0.121954985
HCG4B,0.5893937,0.10484511
GORAB,0.58926296,0.13385768
SPRY3,0.5892324,0.13474837
LOC150005,0.58911496,0.1180692
PLVAP,0.58909863,0.12127814
PHF12,0.58888394,0.105923064
PEX5,0.5888094,0.14215092
NPDC1,0.5887564,0.11623976
EIF2AK4,0.5887305,0.14340156
LINC00115,0.58871007,0.10513121
LOC644285,0.58847636,0.14299417
AX748125,0.58816874,0.121034935
DDX18,0.5881218,0.13960838
