gene,residual_score,residual_std,gated_score,gated_std,residual_rank,gated_rank,rank_diff,abs_rank_diff
LYL1,0.6360534,0.113588534,0.41629958,0.08119204,168.0,2773.0,-2605.0,2605.0
BFSP2,0.6358139,0.14911625,0.5532602,0.08564724,169.0,924.0,-755.0,755.0
CLDN25,0.63571894,0.12895262,0.5228148,0.07945356,170.0,1396.0,-1226.0,1226.0
PRPH2,0.63527066,0.1444407,0.5756444,0.076634794,171.0,629.0,-458.0,458.0
YIPF1,0.63517165,0.112371236,0.4594568,0.08722242,172.0,2413.0,-2241.0,2241.0
OR10S1,0.6350442,0.0955431,0.52407014,0.1088796,173.0,1372.0,-1199.0,1199.0
MPND,0.63488543,0.1041323,0.65870386,0.08766463,174.0,60.0,114.0,114.0
TPM4,0.6348765,0.12270296,0.57913166,0.085080214,175.0,590.0,-415.0,415.0
PTPRN,0.63456964,0.119301386,0.38176727,0.08917753,176.0,2937.0,-2761.0,2761.0
CASP12,0.63452065,0.10884168,0.61552864,0.08743133,177.0,233.0,-56.0,56.0
TM4SF20,0.63367945,0.112084545,0.53766376,0.06953017,178.0,1160.0,-982.0,982.0
OR51I1,0.63360906,0.10472811,0.58073187,0.091222785,179.0,570.0,-391.0,391.0
DHX34,0.6335232,0.13483597,0.45020488,0.07683682,180.0,2520.0,-2340.0,2340.0
SFXN2,0.6334462,0.15375862,0.42830473,0.07218839,181.0,2695.0,-2514.0,2514.0
C20orf194,0.63332546,0.14338756,0.602729,0.102939524,182.0,340.0,-158.0,158.0
NASP,0.6331258,0.11563278,0.49636683,0.07548409,183.0,1848.0,-1665.0,1665.0
BICRAL,0.63310295,0.11414756,0.51094943,0.073976606,184.0,1610.0,-1426.0,1426.0
LMNB2,0.6330087,0.09397903,0.5014855,0.08617911,185.0,1757.0,-1572.0,1572.0
CAMSAP2,0.632986,0.11198673,0.4403277,0.09856931,186.0,2603.0,-2417.0,2417.0
ZSWIM2,0.6329635,0.12597513,0.5392611,0.112685814,187.0,1130.0,-943.0,943.0
STX12,0.63280666,0.10872582,0.54883635,0.08702511,188.0,992.0,-804.0,804.0
GRIN1,0.6327105,0.115864195,0.52948445,0.0832429,189.0,1287.0,-1098.0,1098.0
EPHA5,0.6325049,0.10589969,0.5276701,0.08898493,190.0,1315.0,-1125.0,1125.0
NLGN4Y,0.6324892,0.13666569,0.60113853,0.09090468,191.0,357.0,-166.0,166.0
NEXN-AS1,0.6320851,0.13082938,0.57349813,0.07844934,192.0,650.0,-458.0,458.0
C17orf107,0.63204324,0.12826876,0.54424703,0.09984008,193.0,1061.0,-868.0,868.0
LINC02995,0.63188237,0.12460492,0.58515275,0.13830969,194.0,516.0,-322.0,322.0
VRK2,0.63168037,0.096688166,0.55380446,0.07591252,195.0,919.0,-724.0,724.0
TRPV5,0.6316607,0.10450112,0.5834879,0.08693322,196.0,536.0,-340.0,340.0
CAGE1,0.6314862,0.1276939,0.48956007,0.13199508,197.0,1983.0,-1786.0,1786.0
AFM,0.6313991,0.12600535,0.5764574,0.09203056,198.0,613.0,-415.0,415.0
CARD18,0.63124204,0.13656709,0.65655845,0.09515249,199.0,64.0,135.0,135.0
CARD6,0.6307608,0.11720402,0.3868562,0.065102816,200.0,2915.0,-2715.0,2715.0
GALNS,0.6307141,0.15439674,0.514008,0.09010748,201.0,1552.0,-1351.0,1351.0
KRTAP2-3,0.63068193,0.1083144,0.5066415,0.109577686,202.0,1679.0,-1477.0,1477.0
FSHB,0.6304413,0.13537368,0.5932916,0.10232822,203.0,432.0,-229.0,229.0
CYS1,0.6304132,0.1397676,0.4762635,0.07173513,204.0,2191.0,-1987.0,1987.0
DOP1B,0.629772,0.10557191,0.41376814,0.10823548,205.0,2791.0,-2586.0,2586.0
LOC100130051,0.6297312,0.122565955,0.63707805,0.11627288,206.0,120.0,86.0,86.0
MIP,0.6294941,0.122322895,0.47053143,0.09338195,207.0,2286.0,-2079.0,2079.0
GPAT4,0.629444,0.16011982,0.6186822,0.08834259,208.0,217.0,-9.0,9.0
GAB4,0.6294345,0.109105796,0.5143659,0.089580715,209.0,1546.0,-1337.0,1337.0
THOC3,0.62890816,0.144847,0.5359913,0.09368198,210.0,1190.0,-980.0,980.0
HEXB,0.628317,0.11450752,0.43984967,0.08091339,211.0,2609.0,-2398.0,2398.0
CDO1,0.6281893,0.1266252,0.3550897,0.09126005,212.0,2979.0,-2767.0,2767.0
GSTA5,0.6281856,0.104471125,0.5398685,0.08588496,213.0,1121.0,-908.0,908.0
IAPP,0.628032,0.10506481,0.4707664,0.09945926,214.0,2280.0,-2066.0,2066.0
SPARCL1,0.62780654,0.108341135,0.53692096,0.09135887,215.0,1177.0,-962.0,962.0
C6orf15,0.6277329,0.13342309,0.5505904,0.077604935,216.0,964.0,-748.0,748.0
IFI6,0.6273348,0.16022678,0.55205345,0.1051686,217.0,941.0,-724.0,724.0
DDX50,0.62719864,0.1079945,0.48682812,0.07232773,218.0,2027.0,-1809.0,1809.0
DCAF12L2,0.62716275,0.123297185,0.6340813,0.10743149,219.0,137.0,82.0,82.0
SLC5A12,0.62695706,0.13260905,0.51518387,0.080007106,220.0,1528.0,-1308.0,1308.0
SRPRA,0.6268986,0.12447335,0.6223196,0.082033575,221.0,196.0,25.0,25.0
SDF2L1,0.6268861,0.12874131,0.5734104,0.085892335,222.0,653.0,-431.0,431.0
PRAF2,0.6266358,0.1429174,0.44567472,0.10478964,223.0,2567.0,-2344.0,2344.0
PLEKHA2,0.62638515,0.086858384,0.5165036,0.08094889,224.0,1500.0,-1276.0,1276.0
RCAN2,0.6262212,0.13026704,0.57535267,0.081331626,225.0,632.0,-407.0,407.0
TRDV2,0.62617546,0.12285255,0.58349407,0.09197763,226.0,535.0,-309.0,309.0
CSAD,0.62586856,0.1263637,0.43863812,0.124142416,227.0,2617.0,-2390.0,2390.0
CPED1,0.6258655,0.12523834,0.50887704,0.11124125,228.0,1640.0,-1412.0,1412.0
ZNF773,0.625777,0.13431226,0.5405772,0.08848822,229.0,1110.0,-881.0,881.0
GABRG2,0.6256516,0.14929318,0.5818697,0.09105275,230.0,556.0,-326.0,326.0
LOC100129233,0.62531537,0.11368961,0.498778,0.093224846,231.0,1803.0,-1572.0,1572.0
CDV3,0.62511396,0.13069901,0.51360756,0.08115127,232.0,1557.0,-1325.0,1325.0
TRPA1,0.6248988,0.12158347,0.44692668,0.10527187,233.0,2554.0,-2321.0,2321.0
IGFL3,0.6248429,0.11003508,0.6118822,0.080361255,234.0,264.0,-30.0,30.0
DDIAS,0.62469834,0.10970511,0.48068884,0.10240965,235.0,2126.0,-1891.0,1891.0
RHBDL1,0.6246743,0.17877671,0.55495805,0.09031676,236.0,902.0,-666.0,666.0
HAS3,0.6246735,0.19180255,0.60705316,0.07171365,237.0,305.0,-68.0,68.0
TGS1,0.6246184,0.11008574,0.5637264,0.079387695,238.0,773.0,-535.0,535.0
SERF1B,0.62459254,0.14237672,0.55154675,0.08207083,239.0,951.0,-712.0,712.0
GSDMB,0.62446284,0.1093324,0.5325862,0.09324279,240.0,1234.0,-994.0,994.0
CYP4A11,0.6242345,0.15333751,0.5559902,0.07915273,241.0,886.0,-645.0,645.0
APOA2,0.6238298,0.13403751,0.5959158,0.08935693,242.0,405.0,-163.0,163.0
MIR600HG,0.6238107,0.12545091,0.49371395,0.095520295,243.0,1902.0,-1659.0,1659.0
ARHGAP32,0.6237844,0.14008665,0.579902,0.06613549,244.0,579.0,-335.0,335.0
FAM149A,0.6235934,0.1008668,0.3717935,0.096505925,245.0,2961.0,-2716.0,2716.0
ADAMTSL1,0.62348694,0.12255481,0.37350103,0.120553,246.0,2956.0,-2710.0,2710.0
OR4X1,0.6234148,0.12094992,0.5980614,0.11198463,247.0,384.0,-137.0,137.0
ZFY,0.62256056,0.11298713,0.5367584,0.08393792,248.0,1181.0,-933.0,933.0
ANKRD28,0.62253886,0.15067266,0.59119076,0.09402624,249.0,449.0,-200.0,200.0
PRRG3,0.62182826,0.12198685,0.37634942,0.08842661,250.0,2949.0,-2699.0,2699.0
ANAPC13,0.62180424,0.099272005,0.52440625,0.1104439,251.0,1364.0,-1113.0,1113.0
METTL21EP,0.6213573,0.16449532,0.6164647,0.07576134,252.0,231.0,21.0,21.0
ZNF436-AS1,0.62119997,0.14769265,0.41521266,0.12157642,253.0,2782.0,-2529.0,2529.0
THBD,0.62109274,0.12912507,0.59820724,0.09832103,254.0,382.0,-128.0,128.0
CCDC158,0.6209178,0.08983809,0.45854342,0.10170531,255.0,2427.0,-2172.0,2172.0
SGCA,0.6208988,0.1162536,0.4574301,0.07324729,256.0,2444.0,-2188.0,2188.0
GOLGA6L2,0.62086457,0.107882306,0.5572443,0.09302011,257.0,868.0,-611.0,611.0
DAG1,0.62080264,0.16051596,0.57679296,0.08987055,258.0,610.0,-352.0,352.0
WDR75,0.62054145,0.11733178,0.49414176,0.08274203,259.0,1894.0,-1635.0,1635.0
PIK3C2A,0.62047523,0.13185582,0.44546694,0.11653093,260.0,2569.0,-2309.0,2309.0
TRPC5OS,0.62047195,0.10151937,0.49518695,0.08173247,261.0,1875.0,-1614.0,1614.0
ELK1,0.62024724,0.1255544,0.52513963,0.060880084,262.0,1355.0,-1093.0,1093.0
ZNF354C,0.620067,0.10759056,0.6037872,0.08607799,263.0,332.0,-69.0,69.0
MMP19,0.6198749,0.09288465,0.5961699,0.09767957,264.0,402.0,-138.0,138.0
BLCAP,0.6197138,0.09913408,0.4820085,0.09160233,265.0,2106.0,-1841.0,1841.0
ARL5C,0.6195307,0.1178069,0.44173393,0.112291515,266.0,2594.0,-2328.0,2328.0
NUB1,0.6194968,0.122200504,0.60232306,0.083818346,267.0,347.0,-80.0,80.0
MDFI,0.61921865,0.11469345,0.49670997,0.08976408,268.0,1839.0,-1571.0,1571.0
SYDE1,0.61919266,0.09929023,0.5820188,0.11483066,269.0,553.0,-284.0,284.0
SORD,0.6189996,0.15018268,0.54317266,0.0900292,270.0,1076.0,-806.0,806.0
ORC3,0.6189239,0.1063089,0.41467938,0.07389003,271.0,2787.0,-2516.0,2516.0
PEX1,0.6184192,0.1386068,0.51120794,0.08540061,272.0,1607.0,-1335.0,1335.0
OR2A20P,0.6181889,0.12597312,0.31377977,0.097266585,273.0,2999.0,-2726.0,2726.0
USP40,0.6181595,0.12952949,0.5026486,0.11114532,274.0,1736.0,-1462.0,1462.0
PDE7B-AS1,0.61798686,0.117131904,0.5188832,0.08282292,275.0,1458.0,-1183.0,1183.0
FDPS,0.6178676,0.14603782,0.52991676,0.07735512,276.0,1278.0,-1002.0,1002.0
TUBA1B,0.6176752,0.11971297,0.5594349,0.102103956,277.0,831.0,-554.0,554.0
FBP2,0.6176651,0.109428056,0.5192282,0.0938558,278.0,1453.0,-1175.0,1175.0
NPC1L1,0.6176256,0.1494188,0.54692715,0.09902109,279.0,1023.0,-744.0,744.0
RPL13A,0.61755246,0.12803073,0.58800185,0.09116175,280.0,483.0,-203.0,203.0
LINC02913,0.61749804,0.16391812,0.431512,0.08793278,281.0,2670.0,-2389.0,2389.0
NOTUM,0.6171685,0.12586588,0.51642483,0.109894276,282.0,1501.0,-1219.0,1219.0
PPP4R1,0.6169516,0.1588773,0.47534743,0.12746811,283.0,2206.0,-1923.0,1923.0
KIFC2,0.6166465,0.13233584,0.44849822,0.08184398,284.0,2539.0,-2255.0,2255.0
