gene,mean_gate_score,std_gate_score
LOC389300,0.56925255,0.10533301
TMEM65,0.5691685,0.09591326
GDF5,0.56903976,0.0838441
ABCA11P,0.5689909,0.080389984
USP18,0.56885636,0.10044252
IL6ST,0.5687406,0.08472235
IL2RA,0.56868815,0.07880374
KRTAP12-2,0.5685491,0.07090066
CCZ1,0.5682862,0.10839
SRSF3,0.5682373,0.098061845
CRHBP,0.5681769,0.06482756
NDC1,0.56812036,0.09176953
SEL1L,0.5680648,0.082474716
PRTFDC1,0.5680264,0.088163875
PSAP,0.567941,0.07789281
SRFBP1,0.56787944,0.08383191
C5orf47,0.56781995,0.08272436
LRRC46,0.5676876,0.09148205
PSG7,0.5674485,0.08057339
ZNF586,0.5673949,0.10386518
CHST9,0.5673855,0.0767856
C15orf41,0.56735957,0.113827474
HSD17B1,0.56730044,0.12846138
PCDHAC1,0.5672809,0.08207454
CCDC89,0.5672055,0.08408264
ACSM5,0.5671758,0.09561718
TGM6,0.56716615,0.095524654
PCSK2,0.5671284,0.095211804
PROX1,0.56676733,0.097678386
SH3BP2,0.56668276,0.08153228
ZNF350,0.5665729,0.07331345
TRIP12,0.5664798,0.088275746
LINC01101,0.56646824,0.084220245
FABP5,0.56627935,0.09562852
AMBRA1,0.5660757,0.08990278
SLC17A3,0.5660532,0.08218307
AASS,0.5659498,0.07948833
ADAMTSL5,0.56583345,0.074253984
SLC26A7,0.56567717,0.0890068
DBX1,0.56564087,0.07923272
LOC642384,0.56558836,0.10214111
SFXN5,0.56535876,0.092658386
KRT81,0.5652145,0.088355206
BSX,0.56501466,0.10691887
GDE1,0.56500316,0.10365798
EXD2,0.56496155,0.099034466
MMUT,0.5649577,0.07726311
ZNF569,0.5648795,0.100521296
LOC440149,0.5648718,0.07102706
PTRHD1,0.5648651,0.08130204
LSM10,0.5648185,0.08726526
CDKN2AIPNL,0.5646858,0.09790706
AK1,0.5645134,0.06542562
MIR924HG,0.5644515,0.110466056
MME,0.56442344,0.0753518
SNORD34,0.56441677,0.085735954
WIPI1,0.56425875,0.096355125
LEO1,0.56412673,0.08680319
GPR75,0.56410867,0.105431356
TTC37,0.5639176,0.08304589
MRPS12,0.56388116,0.0925451
ACRV1,0.56386936,0.08446786
C15orf21,0.563838,0.07107861
IL1RL1,0.563818,0.10257276
LRRC31,0.5637845,0.08292861
TGS1,0.5637264,0.079387695
CLDN5,0.56371844,0.13073528
LINC00312,0.56358033,0.08839169
