Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	1/19	1.790435e-02	6.610836e-02	0	0	6.161420e+01	2.478562e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045954)	1/21	1.977125e-02	7.098324e-02	0	0	5.544722e+01	2.175486e+02	IL12A
GO_Biological_Process_2023	Protein Peptidyl-Prolyl Isomerization (GO:0000413)	1/22	2.070345e-02	7.098324e-02	0	0	5.280423e+01	2.047460e+02	PPIL3
GO_Biological_Process_2023	Positive Regulation Of Cilium Assembly (GO:0045724)	1/22	2.070345e-02	7.098324e-02	0	0	5.280423e+01	2.047460e+02	CROCC
GO_Biological_Process_2023	Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753)	1/23	2.163480e-02	7.245142e-02	0	0	5.040152e+01	1.932118e+02	RNF135
GO_Biological_Process_2023	Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)	1/24	2.256531e-02	7.385011e-02	0	0	4.820773e+01	1.827720e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Protein Transport (GO:0051224)	1/25	2.349499e-02	7.518396e-02	0	0	4.619676e+01	1.732826e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Interleukin-1 Beta Production (GO:0032691)	1/26	2.442382e-02	7.645719e-02	0	0	4.434667e+01	1.646235e+02	CARD18
GO_Biological_Process_2023	Peptidyl-Proline Modification (GO:0018208)	1/27	2.535182e-02	7.767367e-02	0	0	4.263889e+01	1.566938e+02	PPIL3
GO_Biological_Process_2023	Chemical Synaptic Transmission (GO:0007268)	2/273	2.724474e-02	8.063216e-02	0	0	8.556544e+00	3.082833e+01	APBA1;DBH
GO_Biological_Process_2023	Negative Regulation Of Interleukin-1 Production (GO:0032692)	1/30	2.813081e-02	8.063216e-02	0	0	3.822222e+01	1.364873e+02	CARD18
GO_Biological_Process_2023	Regulation Of Response To Biotic Stimulus (GO:0002831)	1/31	2.905547e-02	8.063216e-02	0	0	3.694630e+01	1.307363e+02	RNF135
GO_Biological_Process_2023	Positive Regulation Of Mononuclear Cell Migration (GO:0071677)	1/31	2.905547e-02	8.063216e-02	0	0	3.694630e+01	1.307363e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	2/283	2.911717e-02	8.063216e-02	0	0	8.247854e+00	2.916794e+01	ADIRF;ASB4
